Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Method,Outcome
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,7,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,7,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,8,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,8,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,9,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,9,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,10,GIANTX,Defused,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,10,Sentinels,Detonated Denied,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,11,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,11,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,12,Sentinels,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,12,GIANTX,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,13,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,13,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,14,GIANTX,Detonated,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,14,Sentinels,Failed Defused,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,15,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,15,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,16,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,16,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,17,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,17,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,18,Sentinels,Defused,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,18,GIANTX,Detonated Denied,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,19,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,19,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,20,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,20,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,21,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,21,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,22,GIANTX,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,22,Sentinels,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,1,EDward Gaming,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,1,Mega Minors,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,2,EDward Gaming,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,2,Mega Minors,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,3,EDward Gaming,Detonated,Win
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,3,Mega Minors,Failed Defused,Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,4,Mega Minors,Time Expiry (No Plant),Win
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,4,EDward Gaming,Time Expiry (Failed to Plant),Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,5,EDward Gaming,Detonated,Win
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,5,Mega Minors,Failed Defused,Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,6,EDward Gaming,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,6,Mega Minors,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,7,Mega Minors,Defused,Win
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,7,EDward Gaming,Detonated Denied,Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,8,EDward Gaming,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,8,Mega Minors,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,9,EDward Gaming,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,9,Mega Minors,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,10,EDward Gaming,Detonated,Win
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,10,Mega Minors,Failed Defused,Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,11,EDward Gaming,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,11,Mega Minors,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,12,EDward Gaming,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,12,Mega Minors,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,13,EDward Gaming,Defused,Win
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,13,Mega Minors,Detonated Denied,Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,14,Mega Minors,Elimination,Win
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,14,EDward Gaming,Eliminated,Loss
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,15,Mega Minors,Elimination,Win
